filename	md5	time	brain_region	test	group	replicate	label
mapping/feature_counts/CH_DB_AI_029.all_mates/out/feature_counts.CH_DB_AI_029.all_mates.feature_counts	.	Day	Hippocampus	Soci	Day_Hippocampus	12	Day_Hippocampus_12
mapping/feature_counts/CH_DB_AI_030.all_mates/out/feature_counts.CH_DB_AI_030.all_mates.feature_counts	.	Day	Hippocampus	Cogn	Day_Hippocampus	13	Day_Hippocampus_13
mapping/feature_counts/CH_DB_AI_031.all_mates/out/feature_counts.CH_DB_AI_031.all_mates.feature_counts	.	Day	Hippocampus	Ctr0	Day_Hippocampus	14	Day_Hippocampus_14
mapping/feature_counts/CH_DB_AI_032.all_mates/out/feature_counts.CH_DB_AI_032.all_mates.feature_counts	.	Day	Hippocampus	Ctr1	Day_Hippocampus	15	Day_Hippocampus_15
mapping/feature_counts/CH_DB_AI_033.all_mates/out/feature_counts.CH_DB_AI_033.all_mates.feature_counts	.	Night	Frontal_cortex	Soci	Night_Frontal_cortex	16	Night_Frontal_cortex_16
mapping/feature_counts/CH_DB_AI_034.all_mates/out/feature_counts.CH_DB_AI_034.all_mates.feature_counts	.	Night	Frontal_cortex	Cogn	Night_Frontal_cortex	1	Night_Frontal_cortex_1
mapping/feature_counts/CH_DB_AI_035.all_mates/out/feature_counts.CH_DB_AI_035.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr0	Night_Frontal_cortex	2	Night_Frontal_cortex_2
mapping/feature_counts/CH_DB_AI_036.all_mates/out/feature_counts.CH_DB_AI_036.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr1	Night_Frontal_cortex	3	Night_Frontal_cortex_3
mapping/feature_counts/CH_DB_AI_037.all_mates/out/feature_counts.CH_DB_AI_037.all_mates.feature_counts	.	Day	Frontal_cortex	Soci	Day_Frontal_cortex	16	Day_Frontal_cortex_16
mapping/feature_counts/CH_DB_AI_038.all_mates/out/feature_counts.CH_DB_AI_038.all_mates.feature_counts	.	Day	Frontal_cortex	Cogn	Day_Frontal_cortex	1	Day_Frontal_cortex_1
mapping/feature_counts/CH_DB_AI_039.all_mates/out/feature_counts.CH_DB_AI_039.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr0	Day_Frontal_cortex	2	Day_Frontal_cortex_2
mapping/feature_counts/CH_DB_AI_040.all_mates/out/feature_counts.CH_DB_AI_040.all_mates.feature_counts	.	Day	Frontal_cortex	Ctr1	Day_Frontal_cortex	3	Day_Frontal_cortex_3
mapping/feature_counts/CH_DB_AI_041.all_mates/out/feature_counts.CH_DB_AI_041.all_mates.feature_counts	.	Night	Frontal_cortex	Soci	Night_Frontal_cortex	4	Night_Frontal_cortex_4
mapping/feature_counts/CH_DB_AI_042.all_mates/out/feature_counts.CH_DB_AI_042.all_mates.feature_counts	.	Night	Frontal_cortex	Cogn	Night_Frontal_cortex	5	Night_Frontal_cortex_5
mapping/feature_counts/CH_DB_AI_043.all_mates/out/feature_counts.CH_DB_AI_043.all_mates.feature_counts	.	Night	Frontal_cortex	Ctr0	Night_Frontal_cortex	6	Night_Frontal_cortex_6
